scenario,concurrent_users,msg_size,avg_response_time
Passthrough,50,50,16.92
Passthrough,50,1024,17.78
Passthrough,50,10240,24.8
Passthrough,50,102400,94.55
Passthrough,100,50,32.61
Passthrough,100,1024,33.3
Passthrough,100,10240,49.95
Passthrough,100,102400,194.43
Passthrough,200,50,63.88
Passthrough,200,1024,68.24
Passthrough,200,10240,101.2
Passthrough,200,102400,423.07
Passthrough,300,50,94.29
Passthrough,300,1024,100.8
Passthrough,300,10240,148.9
Passthrough,300,102400,626.27
Passthrough,500,50,163.88
Passthrough,500,1024,170.61
Passthrough,500,10240,250.27
Passthrough,500,102400,1090.58
Passthrough,1000,50,336.82
Passthrough,1000,1024,359.4
Passthrough,1000,10240,513.83
Passthrough,1000,102400,2194.47
Transformation,50,50,20.59
Transformation,50,1024,24.99
Transformation,50,10240,65.26
Transformation,50,102400,492.49
Transformation,100,50,40.37
Transformation,100,1024,49.9
Transformation,100,10240,131.66
Transformation,100,102400,5.17
Transformation,200,50,80.79
Transformation,200,1024,100.48
Transformation,200,10240,265.82
Transformation,200,102400,97.82
Transformation,300,50,120.57
Transformation,300,1024,147.39
Transformation,300,10240,407.16
Transformation,300,102400,4281.63
Transformation,500,50,201.44
Transformation,500,1024,248.41
Transformation,500,10240,723.19
Transformation,500,102400,6064.63
Transformation,1000,50,422.7
Transformation,1000,1024,528.52
Transformation,1000,10240,1638.37
Transformation,1000,102400,180671.49
