scenario,concurrent_users,msg_size,avg_response_time,scenario_passthrough,scenario_transformation
passthrough,50,50,16.92,1,0
passthrough,50,1024,17.78,1,0
passthrough,50,10240,24.8,1,0
passthrough,50,102400,94.55,1,0
passthrough,100,50,32.61,1,0
passthrough,100,1024,33.3,1,0
passthrough,100,10240,49.95,1,0
passthrough,100,102400,194.43,1,0
passthrough,200,50,63.88,1,0
passthrough,200,1024,68.24,1,0
passthrough,200,10240,101.2,1,0
passthrough,200,102400,423.07,1,0
passthrough,300,50,94.29,1,0
passthrough,300,1024,100.8,1,0
passthrough,300,10240,148.9,1,0
passthrough,300,102400,626.27,1,0
passthrough,500,50,163.88,1,0
passthrough,500,1024,170.61,1,0
passthrough,500,10240,250.27,1,0
passthrough,500,102400,1090.58,1,0
passthrough,1000,50,336.82,1,0
passthrough,1000,1024,359.4,1,0
passthrough,1000,10240,513.83,1,0
passthrough,1000,102400,2194.47,1,0
transformation,50,50,20.59,0,1
transformation,50,1024,24.99,0,1
transformation,50,10240,65.26,0,1
transformation,50,102400,492.49,0,1
transformation,100,50,40.37,0,1
transformation,100,1024,49.9,0,1
transformation,100,10240,131.66,0,1
transformation,100,102400,5.17,0,1
transformation,200,50,80.79,0,1
transformation,200,1024,100.48,0,1
transformation,200,10240,265.82,0,1
transformation,200,102400,97.82,0,1
transformation,300,50,120.57,0,1
transformation,300,1024,147.39,0,1
transformation,300,10240,407.16,0,1
transformation,300,102400,4281.63,0,1
transformation,500,50,201.44,0,1
transformation,500,1024,248.41,0,1
transformation,500,10240,723.19,0,1
transformation,500,102400,6064.63,0,1
transformation,1000,50,422.7,0,1
transformation,1000,1024,528.52,0,1
transformation,1000,10240,1638.37,0,1
