use_case,size,heap_size,concurrent_users,collector,latency
1,50,100,1000,1,62.60755629
1,50,100,1000,2,60.95962574
1,50,100,1000,3,89.21688846
1,50,100,1000,4,63.22412864
1,50,100,500,1,33.13564654
1,50,100,500,2,32.27667443
1,50,100,500,3,43.17189596
1,50,100,500,4,34.106174700000004
1,50,100,200,1,13.09806066
1,50,100,200,2,13.10249271
1,50,100,200,3,17.26266328
1,50,100,200,4,13.06311352
1,50,100,100,1,6.530213903
1,50,100,100,2,6.886277528
1,50,100,100,3,7.439800223
1,50,100,100,4,7.073495316
1,50,100,50,1,3.5314634419999997
1,50,100,50,2,3.5837759869999997
1,50,100,50,3,3.8810288369999997
1,50,100,50,4,3.6558718860000003
1,50,100,1,1,0.2471594709
1,50,100,1,2,0.24165837690000003
1,50,100,1,3,0.2563723043
1,50,100,1,4,0.2414898326
1,50,200,1000,1,59.25812152
1,50,200,1000,2,59.78515667
1,50,200,1000,3,65.65942305
1,50,200,1000,4,61.32488656
1,50,200,500,1,31.10766264
1,50,200,500,2,31.08930901
1,50,200,500,3,34.41556428
1,50,200,500,4,32.01383981
1,50,200,200,1,12.09892376
1,50,200,200,2,12.37156894
1,50,200,200,3,13.78597691
1,50,200,200,4,12.83088053
1,50,200,100,1,6.483965402999999
1,50,200,100,2,6.614095322000001
1,50,200,100,3,7.250078961
1,50,200,100,4,6.663195305
1,50,200,50,1,3.29396204
1,50,200,50,2,3.348957733
1,50,200,50,3,3.81848164
1,50,200,50,4,3.381014594
1,50,200,1,1,0.23851518859999998
1,50,200,1,2,0.2397101962
1,50,200,1,3,0.25491375829999996
1,50,200,1,4,0.24742639309999997
1,50,500,1000,1,58.26256725
1,50,500,1000,2,55.34966402
1,50,500,1000,3,62.66163698
1,50,500,1000,4,59.16968089
1,50,500,500,1,30.227239899999997
1,50,500,500,2,29.73810337
1,50,500,500,3,32.43660826
1,50,500,500,4,30.79680982
1,50,500,200,1,11.70399255
1,50,500,200,2,11.70042336
1,50,500,200,3,13.60128717
1,50,500,200,4,12.08479405
1,50,500,100,1,6.0362623179999995
1,50,500,100,2,6.159694953
1,50,500,100,3,7.0569048489999995
1,50,500,100,4,6.165818496
1,50,500,50,1,3.184995607
1,50,500,50,2,3.172542944
1,50,500,50,3,3.631078782
1,50,500,50,4,3.2939956739999996
1,50,500,1,1,0.2416956842
1,50,500,1,2,0.23897308539999998
1,50,500,1,3,0.2554524138
1,50,500,1,4,0.24270629579999997
1,50,1000,1000,1,55.68173845
1,50,1000,1000,2,54.22877349
1,50,1000,1000,3,61.72881556
1,50,1000,1000,4,56.73386809
1,50,1000,500,1,29.92983311
1,50,1000,500,2,29.57359038
1,50,1000,500,3,33.19226492
1,50,1000,500,4,29.82070152
1,50,1000,200,1,11.70756632
1,50,1000,200,2,11.22984247
1,50,1000,200,3,12.83899151
1,50,1000,200,4,12.26308201
1,50,1000,100,1,6.040282489
1,50,1000,100,2,5.958609994
1,50,1000,100,3,6.883990731
1,50,1000,100,4,6.198477215
1,50,1000,50,1,3.154522853
1,50,1000,50,2,3.164328218
1,50,1000,50,3,3.520089872
1,50,1000,50,4,3.2125081680000003
1,50,1000,1,1,0.241308738
1,50,1000,1,2,0.24261206859999998
1,50,1000,1,3,0.2554191991
1,50,1000,1,4,0.2427880549
1,50,4000,1000,1,57.36217214
1,50,4000,1000,2,57.24822954
1,50,4000,1000,3,65.79019579
1,50,4000,1000,4,62.09012149
1,50,4000,500,1,29.61924376
1,50,4000,500,2,29.5365789
1,50,4000,500,3,33.46415239
1,50,4000,500,4,32.68798119
1,50,4000,200,1,12.14573857
1,50,4000,200,2,11.7651536
1,50,4000,200,3,13.70647473
1,50,4000,200,4,13.10620911
1,50,4000,100,1,6.252200823
1,50,4000,100,2,6.1895846379999995
1,50,4000,100,3,7.053491451
1,50,4000,100,4,6.512217092
1,50,4000,50,1,3.275760272
1,50,4000,50,2,3.2852915069999997
1,50,4000,50,3,3.571422984
1,50,4000,50,4,3.4455054410000003
1,50,4000,1,1,0.2482463579
1,50,4000,1,2,0.2418626005
1,50,4000,1,3,0.2565731471
1,50,4000,1,4,0.24601776620000002
1,1024,100,1000,1,145.70970419999998
1,1024,100,1000,2,133.4608864
1,1024,100,1000,3,183.000177
1,1024,100,1000,4,142.3657878
1,1024,100,500,1,72.55855848
1,1024,100,500,2,70.29896036
1,1024,100,500,3,88.20573543
1,1024,100,500,4,74.09298241
1,1024,100,200,1,26.96337259
1,1024,100,200,2,26.426960600000005
1,1024,100,200,3,34.02491216
1,1024,100,200,4,27.82038445
1,1024,100,100,1,13.78753248
1,1024,100,100,2,13.06071896
1,1024,100,100,3,14.04710874
1,1024,100,100,4,13.85624635
1,1024,100,50,1,6.52154899
1,1024,100,50,2,6.584795424
1,1024,100,50,3,6.832744172000001
1,1024,100,50,4,6.799558671000001
1,1024,100,1,1,0.41758173369999996
1,1024,100,1,2,0.3927474836
1,1024,100,1,3,0.4082445277
1,1024,100,1,4,0.39368011659999996
1,1024,200,1000,1,120.92503810000001
1,1024,200,1000,2,121.87195290000001
1,1024,200,1000,3,126.97447009999999
1,1024,200,1000,4,123.36998500000001
1,1024,200,500,1,64.4648069
1,1024,200,500,2,64.07381744
1,1024,200,500,3,65.18703572
1,1024,200,500,4,65.41698152
1,1024,200,200,1,25.18619026
1,1024,200,200,2,24.61217257
1,1024,200,200,3,25.50655456
1,1024,200,200,4,24.85557283
1,1024,200,100,1,12.56135608
1,1024,200,100,2,12.18011669
1,1024,200,100,3,12.63494647
1,1024,200,100,4,12.61942824
1,1024,200,50,1,6.337921682999999
1,1024,200,50,2,6.202654696000001
1,1024,200,50,3,6.50107701
1,1024,200,50,4,6.390006443
1,1024,200,1,1,0.394834344
