heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
800m,1000,UseSerialGC,112.7952515757,0,4788,176,291,555.99,8603.0812272301,3.5068198457,773.375,21.994,80.175,211.841,213.342,0.01489,0.00425,0.10958,0.01487,0.06892,130.63,0.21,130.42,96.49,3,8773,30164.293,14350.421,1163.312,18.25,18.17,17.46
800m,1000,UseParallelGC,112.9873906731,0,4701,195,448,949.99,8604.8587925351,3.4822525323,796,34.719,180.52,245.988,254.25,0.00891,0.0035,0.16132,0.00886,0.0929,66.28,0.37,65.91,98.21,4,7438,30735.512,28692.112,1943.254,17.54,17.12,17.44
800m,1000,UseG1GC,128.4576929598,0,5031,206,249,376,7612.5805577661,3.7643691556,800,NA,n.a.,229.56,439.796,0.01192,0.00131,0.06456,0.01192,n.a.,45.06,0,45.06,98.78,0,3782,27018.866,36909.687,n.a.,19.72,19,18.64
800m,1000,UseConcMarkSweepGC,115.9016973369,0,4837,203,301,573,8380.5477986688,3.6081341913,773.375,NA,n.a.,286.73,213.225,0.00996,0.00382,0.07363,0.00996,n.a.,85.48,0,85.48,97.69,0,8581,29726.886,21404.129,n.a.,18.47,17.37,17.34
800m,500,UseSerialGC,59.0408085439,0,1050,117,148,219,8463.0815637826,0,773.375,19.427,67.652,68.898,213.349,0.01372,0.00444,0.11642,0.0137,0.07142,123.09,0.21,122.87,96.67,3,8969,31091.648,15573.362,947.296,18.62,18.26,17.93
800m,500,UseParallelGC,59.1203416363,0,713,111,141,204,8452.0173629399,0,797,19.059,3622.333,83.901,259.288,0.00737,0.00349,0.1421,0.00734,0.08939,54.26,0.27,54,98.53,3,7359,31000.49,35338.028,39.573,16.23,17.54,17.58
800m,500,UseG1GC,66.8447773402,0,756,125,158,229.99,7476.2524689978,0,800,NA,n.a.,66.849,474.705,0.01024,0.00133,0.05231,0.01024,n.a.,36.63,0,36.63,99.01,0,3579,27596.352,46379.532,n.a.,17.45,17.93,18.15
800m,500,UseConcMarkSweepGC,60.8961545995,0,1119,115,145,212,8205.9665074119,0,773.375,NA,n.a.,76.385,213.267,0.00909,0.00383,0.06047,0.00909,n.a.,79.13,0,79.13,97.86,0,8703,30155.051,23455.175,n.a.,16.29,17.38,17.6
800m,200,UseSerialGC,22.6993447981,0,1689,49,61,93,8799.5061611667,0,773.375,22.025,84.039,61.964,213.367,0.00965,0.00529,0.11756,0.00963,0.07226,89.76,0.22,89.54,97.57,3,9301,32247.688,22163.998,1162.94,17.19,18.23,18.45
800m,200,UseParallelGC,23.5720354591,0,484,48,60,84,8473.3388164674,0,798,19.015,3724.333,114.142,260.276,0.00563,0.00349,0.16915,0.0056,0.08783,41.63,0.26,41.36,98.87,3,7390,31249.89,46502.257,41.411,15.88,16.71,16.97
